,순위,선수명,팀명,타율,경기수,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,선수ID,생년월일,신장,체중,입단계약금,연봉,지명순위,볼넷,고의사구,사구,삼진,병살타,장타율,출루율,실책,도루성공률,멀티히트,출루율add장타율,득점권타율,대타타율,사진URL
323,27,김정빈,SK,-,3,0,0,0,0,0,0,0,0,0,0,0,63894,1994년 06월 08일,182cm,90kg,8000만원,2700만원,13 SK 3라운드 28순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/63894.jpg
324,27,김주온,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,65411,1996년 12월 08일,184cm,82kg,5000만원,2700만원,15 삼성 2차 7라운드 72순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/65411.jpg
325,27,김태훈,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,79847,1990년 05월 19일,176cm,88kg,10000만원,24000만원,09 SK 1차,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/79847.jpg
326,27,박민호,SK,-,4,0,0,0,0,0,0,0,0,0,0,0,64893,1992년 02월 25일,185cm,95kg,10000만원,10000만원,14 SK 2차 3라운드 33순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64893.jpg
327,27,박성한,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,67893,1998년 03월 30일,180cm,77kg,9000만원,2700만원,17 SK 2차 2라운드 16순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/67893.jpg
328,27,서동민,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,64896,1994년 03월 07일,186cm,90kg,6000만원,3000만원,14 SK 2차 6라운드 58순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64896.jpg
329,27,서진용,SK,-,4,0,0,0,0,0,0,0,0,0,0,0,61895,1992년 10월 02일,184cm,88kg,,20000만원,11 SK 1라운드 7순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/61895.jpg
330,27,오원석,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,50859,2001년 04월 23일,182cm,80kg,20000만원,2700만원,20 SK 1차,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50859.jpg
331,27,정영일,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,62056,1988년 11월 16일,188cm,98kg,,11000만원,14 SK 2차 5라운드 53순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/62056.jpg
332,27,조영우,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,64768,1995년 06월 27일,185cm,95kg,7000만원,3300만원,14 한화 2차 5라운드 47순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/64768.jpg
333,27,하재훈,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,69813,1990년 10월 29일,182cm,90kg,,15000만원,19 SK 2차 2라운드 16순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/69813.jpg
334,27,현원회,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,50840,2001년 07월 08일,180cm,95kg,7000만원,2700만원,20 SK 2차 4라운드 40순위,0,0,0,0,0,-,-,0,-,0,-,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50840.jpg
335,27,화이트,SK,0.000,2,6,5,0,0,0,0,0,0,0,0,0,50802,1990년 10월 29일,0cm,0kg,,,20 SK 자유선발,0,0,1,0,0,0.000,0.167,0,-,0,0.167,0.000,0.000,//lgcxydabfbch3774324.cdn.ntruss.com/KBO_IMAGE/person/middle/2020/50802.jpg
